ID,DexID,Name,Type1,Type2,Rank,Starter,HP,Height,Weight,Attributes,Abilities,Learnset,Description,Img,Thumb,Exclude
1,#001,Bulbasaur,Grass,Poison,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,2,4,Special,2,4,Insight,2,4","Overgrow,Chlorophyll","Tackle,0,Growl,0,Leech Seed,1,Vine Whip,1,Poison Powder,2,Sleep Powder,2,Take Down,2,Razor Leaf,2,Sweet Scent,2,Growth,2,Worry Seed,3,Double-Edge,3,Synthesis,3,Solar Beam,4,Grassy Terrain,4,Amnesia,4,Grass Pledge,4",,001_Bulbasaur_Dream.png,,False
2,#002,Ivysaur,Grass,Poison,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,4,Vitality,2,4,Special,2,5,Insight,2,5","Overgrow,Chlorophyll","Tackle,0,Growl,0,Leech Seed,1,Vine Whip,1,Poison Powder,2,Sleep Powder,2,Take Down,2,Razor Leaf,2,Sweet Scent,2,Growth,2,Double-Edge,3,Worry Seed,3,Synthesis,3,Solar Beam,3,Grassy Terrain,4,Amnesia,4,Grass Pledge,4",,002_Ivysaur_Dream.png,,False
3,#003,Venusaur,Grass,Poison,Ace,False,5,0,0,"Strength,2,5,Dexterity,2,5,Vitality,2,5,Special,3,6,Insight,3,6","Overgrow,Chlorophyll","Tackle,0,Growl,0,Leech Seed,1,Vine Whip,1,Poison Powder,2,Sleep Powder,2,Take Down,2,Razor Leaf,2,Sweet Scent,2,Growth,2,Double-Edge,2,Petal Dance,2,Worry Seed,2,Synthesis,3,Petal Blizzard,3,Solar Beam,3,Outrage,4,Curse,4,Frenzy Plant,4",,003_Venusaur_Dream.png,,False
4,#003M,Mega-Venusaur,Grass,Poison,Pro,False,6,0,0,"Strength,3,6,Dexterity,2,5,Vitality,3,7,Special,3,6,Insight,3,6",Thick Fat,"Tackle,0,Growl,0,Leech Seed,1,Vine Whip,1,Poison Powder,2,Sleep Powder,2,Take Down,2,Razor Leaf,2,Sweet Scent,2,Growth,2,Double-Edge,2,Petal Dance,2,Worry Seed,2,Synthesis,3,Petal Blizzard,3,Solar Beam,3,Outrage,4,Curse,4,Frenzy Plant,4",,003M_Venusaur_Mega_Dream.png,,False
5,#004,Charmander,Fire,,Beginner,True,3,0,0,"Strength,2,4,Dexterity,2,4,Vitality,1,3,Special,2,4,Insight,2,4","Blaze,Solar Power","Scratch,0,Growl,0,Ember,1,Smokescreen,1,Dragon Rage,2,Scary Face,2,Fire Fang,2,Flame Burst,2,Slash,2,Fire Spin,2,Flamethrower,3,Inferno,3,Metal Claw,4,Dragon Dance,4,Fire Pledge,4",,004_Charmander_Dream.png,,False
6,#005,Charmeleon,Fire,,Amateur,False,4,0,0,"Strength,2,4,Dexterity,2,5,Vitality,2,4,Special,2,5,Insight,2,4","Blaze,Solar Power","Scratch,0,Growl,0,Ember,1,Smokescreen,1,Dragon Rage,2,Scary Face,2,Fire Fang,2,Flame Burst,2,Slash,2,Fire Spin,2,Flamethrower,3,Inferno,3,Metal Claw,4,Dragon Dance,4,Fire Pledge,4",,005_Charmeleon_Dream.png,,False
7,#006,Charizard,Fire,Flying,Ace,False,5,0,0,"Strength,2,5,Dexterity,3,6,Vitality,2,5,Special,3,6,Insight,2,5","Blaze,Solar Power","Scratch,0,Smokescreen,0,Ember,1,Growl,1,Fire Fang,2,Dragon Rage,2,Air Slash,2,Slash,2,Scary Face,2,Fire Spin,2,Flame Burst,2,Wing Attack,2,Dragon Claw,3,Flamethrower,3,Shadow Claw,3,Flare Blitz,3,Heat Wave,3,Inferno,4,Thunder Punch,4,Outrage,4,Blast Burn,4",,006_Charizard_Dream.png,,False
8,#006M,Mega-Charizard Y,Fire,Flying,Pro,False,6,0,0,"Strength,3,6,Dexterity,3,6,Vitality,2,5,Special,4,8,Insight,3,6",Drought,"Scratch,0,Smokescreen,0,Ember,1,Growl,1,Fire Fang,2,Dragon Rage,2,Air Slash,2,Slash,2,Scary Face,2,Fire Spin,2,Flame Burst,2,Wing Attack,2,Dragon Claw,3,Flamethrower,3,Shadow Claw,3,Flare Blitz,3,Heat Wave,3,Inferno,4,Thunder Punch,4,Outrage,4,Blast Burn,4",,006M_Charizard_Mega_X_Dream.png,,False
9,#006M,Mega-Charizard X,Fire,Dragon,Pro,False,6,0,0,"Strength,3,7,Dexterity,3,6,Vitality,3,6,Special,3,7,Insight,2,5",Tough Claws,"Scratch,0,Smokescreen,0,Ember,1,Growl,1,Fire Fang,2,Dragon Rage,2,Air Slash,2,Slash,2,Scary Face,2,Fire Spin,2,Flame Burst,2,Wing Attack,2,Dragon Claw,3,Flamethrower,3,Shadow Claw,3,Flare Blitz,3,Heat Wave,3,Inferno,4,Thunder Punch,4,Outrage,4,Blast Burn,4",,006M_Charizard_Mega_X_Dream.png,,False
10,#007,Squirtle,Water,,Beginner,True,3,0,0,"Strength,2,4,Dexterity,1,3,Vitality,2,4,Special,2,4,Insight,2,4","Torrent,Rain Dish","Tackle,0,Tail Whip,0,Water Gun,1,Withdraw,1,Bubble,2,Bite,2,Rapid Spin,2,Protect,2,Water Pulse,2,Aqua Tail,2,Skull Bash,3,Iron Defense,3,Rain Dance,3,Hydro Pump,3,Aqua Jet,4,Water Pledge,4,Icy Wind,4",,007_Squirtle_Dream.png,,False
