ID,Moves,Ranks
0,Rest,0
1,"Tackle,Growl,Leech Seed,Vine Whip,Poison Powder,Sleep Powder,Take Down,Razor Leaf,Sweet Scent,Growth,Worry Seed,Double-Edge,Synthesis,Solar Beam,Grassy Terrain,Amnesia,Grass Pledge","0,0,1,1,2,2,2,2,2,2,3,3,3,4,4,4,4"
2,"Tackle,Growl,Leech Seed,Vine Whip,Poison Powder,Sleep Powder,Take Down,Razor Leaf,Sweet Scent,Growth,Double-Edge,Worry Seed,Synthesis,Solar Beam,Grassy Terrain,Amnesia,Grass Pledge","0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
3,"Tackle,Growl,Leech Seed,Vine Whip,Poison Powder,Sleep Powder,Take Down,Razor Leaf,Sweet Scent,Growth,Double-Edge,Petal Dance,Worry Seed,Synthesis,Petal Blizzard,Solar Beam,Outrage,Curse,Frenzy Plant","0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
4,"Tackle,Growl,Leech Seed,Vine Whip,Poison Powder,Sleep Powder,Take Down,Razor Leaf,Sweet Scent,Growth,Double-Edge,Petal Dance,Worry Seed,Synthesis,Petal Blizzard,Solar Beam,Outrage,Curse,Frenzy Plant","0,0,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4"
5,"Scratch,Growl,Ember,Smokescreen,Dragon Rage,Scary Face,Fire Fang,Flame Burst,Slash,Fire Spin,Flamethrower,Inferno,Metal Claw,Dragon Dance,Fire Pledge","0,0,1,1,2,2,2,2,2,2,3,3,4,4,4"
6,"Scratch,Growl,Ember,Smokescreen,Dragon Rage,Scary Face,Fire Fang,Flame Burst,Slash,Fire Spin,Flamethrower,Inferno,Metal Claw,Dragon Dance,Fire Pledge","0,0,1,1,2,2,2,2,2,2,3,3,4,4,4"
7,"Scratch,Smokescreen,Ember,Growl,Fire Fang,Dragon Rage,Air Slash,Slash,Scary Face,Fire Spin,Flame Burst,Wing Attack,Dragon Claw,Flamethrower,Shadow Claw,Flare Blitz,Heat Wave,Inferno,Thunder Punch,Outrage,Blast Burn","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4"
8,"Scratch,Smokescreen,Ember,Growl,Fire Fang,Dragon Rage,Air Slash,Slash,Scary Face,Fire Spin,Flame Burst,Wing Attack,Dragon Claw,Flamethrower,Shadow Claw,Flare Blitz,Heat Wave,Inferno,Thunder Punch,Outrage,Blast Burn","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4"
9,"Scratch,Smokescreen,Ember,Growl,Fire Fang,Dragon Rage,Air Slash,Slash,Scary Face,Fire Spin,Flame Burst,Wing Attack,Dragon Claw,Flamethrower,Shadow Claw,Flare Blitz,Heat Wave,Inferno,Thunder Punch,Outrage,Blast Burn","0,0,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4"
10,"Tackle,Tail Whip,Water Gun,Withdraw,Bubble,Bite,Rapid Spin,Protect,Water Pulse,Aqua Tail,Skull Bash,Iron Defense,Rain Dance,Hydro Pump,Aqua Jet,Water Pledge,Icy Wind","0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
11,"Tackle,Tail Whip,Water Gun,Withdraw,Bubble,Bite,Rapid Spin,Protect,Water Pulse,Aqua Tail,Skull Bash,Iron Defense,Rain Dance,Hydro Pump,Mud Sport,Water Pledge,Icy Wind","0,0,1,1,2,2,2,2,2,2,3,3,3,3,4,4,4"
12,"Tail Whip,Tackle,Withdraw,Water Gun,Rapid Spin,Bubble,Bite,Flash Cannon,Protect,Water Pulse,Aqua Tail,Skull Bash,Iron Defense,Rain Dance,Hydro Pump,Zap Cannon,Outrage,Hydro Cannon","0,0,1,1,2,2,2,2,2,2,2,3,3,3,3,4,4,4"
